supplier,sku,name,current_stock,in_transit_qty,forecast_next_month,recommended_qty,months_of_cover,urgency,explanation,moq
Systeme Electric,030200037_,"S252 2-я с/у 10А IP20  ""ХИТ""  РС 16-235-б / 16-230-б (80) !!!",1.0,0.0,293.8,440.0,0.0,Высокая,база спроса ≈246 шт/мес (история 16 мес.); сезонность ×1.00; рост спроса ×1.19; продажи скорректированы вверх из-за дефицита на складе; прогноз след. месяц ≈294 шт; остаток 1 + в пути 0,10.0
Systeme Electric,030200028_,"S254 о/у. 6А IP20  ""ХИТ"" ВА 16-131-б (168) !!!",1.0,0.0,239.4,375.0,0.0,Высокая,база спроса ≈149 шт/мес (история 15 мес.); сезонность ×1.00; рост спроса ×1.61; прогноз след. месяц ≈239 шт; остаток 1 + в пути 0,25.0
Systeme Electric,300201151_,"B004 Роз. 2-ная о/у без з/к без ш/т 16А 250В ""BLANCA"" антрацит BLNRA000216 (10)",136.0,0.0,327.6,360.0,0.42,Высокая,база спроса ≈53 шт/мес (история 17 мес.); сезонность ×5.70; рост спроса ×1.08; прогноз след. месяц ≈328 шт; остаток 136 + в пути 0,10.0
Systeme Electric,300200321_,"S424 Роз  о/у без з/к 16А 250В ИЗОЛ.ПЛ. ""BLANCA"" белый BLNRA000111 (108)",75.0,0.0,272.1,342.0,0.28,Высокая,база спроса ≈162 шт/мес (история 31 мес.); сезонность ×1.35; рост спроса ×1.24; прогноз след. месяц ≈272 шт; остаток 75 + в пути 0,18.0
Systeme Electric,030200240_,"S259 2-я. о/у.з/к.16А IP20 ""ХИТ"" РА 16-238I-б (84) !!!",1.0,0.0,206.7,320.0,0.0,Высокая,база спроса ≈352 шт/мес (история 19 мес.); сезонность ×1.17; снижение спроса ×0.50; продажи скорректированы вверх из-за дефицита на складе; прогноз след. месяц ≈207 шт; остаток 1 + в пути 0,16.0
Systeme Electric,300200933_,"G150 Роз. с з/к 16А механизм ""ARTGALLERY"" базальт GAL1443 (5)",75.0,0.0,240.8,290.0,0.31,Высокая,база спроса ≈109 шт/мес (история 25 мес.); сезонность ×1.17; рост спроса ×1.90; прогноз след. месяц ≈241 шт; остаток 75 + в пути 0,5.0
Systeme Electric,300200306_,"S408 Рамка 4-ная ""ATLAS"" белый (15) ATN104",344.0,0.0,412.5,285.0,0.83,Высокая,база спроса ≈200 шт/мес (история 32 мес.); сезонность ×1.71; рост спроса ×1.21; исключено разовых крупных заказов: 8; прогноз след. месяц ≈412 шт; остаток 344 + в пути 0,15.0
Systeme Electric,030200239_,"S258  2-я.о/у. 10А IP20 ""ХИТ"" РА 16-237I-б / РА 16-233I-б (112) !!!",1.0,0.0,141.7,224.0,0.01,Высокая,база спроса ≈96 шт/мес (история 14 мес.); сезонность ×0.94; рост спроса ×1.57; прогноз след. месяц ≈142 шт; остаток 1 + в пути 0,16.0
Systeme Electric,030300013_, Распределительная коробка с/у для твердых стен  75х30 карболит IP30 У-195 Systeme Electric (108),1.0,0.0,114.7,216.0,0.01,Высокая,база спроса ≈139 шт/мес (история 19 мес.); сезонность ×1.00; снижение спроса ×0.82; продажи скорректированы вверх из-за дефицита на складе; прогноз след. месяц ≈115 шт; остаток 1 + в пути 0,108.0
Systeme Electric,300200868_,"G085 Рамка 1-ная ""ARTGALLERY"" карбон GAL1001 (10)",228.0,0.0,290.7,210.0,0.78,Высокая,база спроса ≈119 шт/мес (история 25 мес.); сезонность ×1.23; рост спроса ×2.00; продажи скорректированы вверх из-за дефицита на складе; прогноз след. месяц ≈291 шт; остаток 228 + в пути 0,10.0
Systeme Electric,300200559_,"K040 Рамка 2-ная ""ATLAS"" ШАМПАНЬ ATN502 (10)",350.0,0.0,354.5,190.0,0.99,Высокая,база спроса ≈173 шт/мес (история 32 мес.); сезонность ×1.56; рост спроса ×1.31; исключено разовых крупных заказов: 1; прогноз след. месяц ≈354 шт; остаток 350 + в пути 0,10.0
Systeme Electric,300200325_,"S428 Роз 3-ная  о/у без з/к 16А 250В ИЗОЛ.ПЛ. ""BLANCA"" белый BLNRA000311 (36)",112.0,0.0,192.4,180.0,0.58,Высокая,база спроса ≈160 шт/мес (история 32 мес.); сезонность ×1.72; снижение спроса ×0.70; прогноз след. месяц ≈192 шт; остаток 112 + в пути 0,6.0
Systeme Electric,300200318_,"S420 Роз  2-ная  с/у с з/к 16А 250В ""BLANCA""  белый BLNRS001021 (36)",294.0,0.0,304.1,168.0,0.97,Высокая,база спроса ≈146 шт/мес (история 30 мес.); сезонность ×2.46; снижение спроса ×0.84; прогноз след. месяц ≈304 шт; остаток 294 + в пути 0,6.0
Systeme Electric,300200288_,"S387 Выкл 2 кл с инд 10А с/у б/рамки ""ATLAS"" белый ATN153 (20)",54.0,0.0,136.7,160.0,0.4,Высокая,база спроса ≈42 шт/мес (история 31 мес.); сезонность ×1.89; рост спроса ×1.72; прогноз след. месяц ≈137 шт; остаток 54 + в пути 0,20.0
Systeme Electric,300200498_,"S414 Переключ. 2 кл 10А с/у б/рамки ""ATLAS"" белый ATN165 (20)",138.0,0.0,197.0,160.0,0.7,Высокая,база спроса ≈106 шт/мес (история 32 мес.); сезонность ×1.48; рост спроса ×1.26; исключено разовых крупных заказов: 3; прогноз след. месяц ≈197 шт; остаток 138 + в пути 0,20.0
Systeme Electric,300200945_,"G162 Рамка 1-ная ""ARTGALLERY"" базальт GAL1401 (10)",24.0,0.0,121.2,160.0,0.2,Высокая,база спроса ≈40 шт/мес (история 24 мес.); сезонность ×1.53; рост спроса ×2.00; прогноз след. месяц ≈121 шт; остаток 24 + в пути 0,10.0
Systeme Electric,300200742_,К111 Выкл 1-кл о/у IP54 10А Atlas Profi 54 БЕЛЫЙ ATN540111 (12),63.0,0.0,130.4,144.0,0.48,Высокая,база спроса ≈125 шт/мес (история 32 мес.); сезонность ×1.38; снижение спроса ×0.75; исключено разовых крупных заказов: 3; прогноз след. месяц ≈130 шт; остаток 63 + в пути 0,12.0
Systeme Electric,030200034_,"S257 о/у. з/к 16А IP20  ""ХИТ""  РА 16-133-б (132) !!!",67.0,0.0,124.4,136.0,0.54,Высокая,база спроса ≈206 шт/мес (история 18 мес.); сезонность ×0.60; рост спроса ×1.01; прогноз след. месяц ≈124 шт; остаток 67 + в пути 0,17.0
Systeme Electric,300200751_,К120 Роз. з/к з/ш о/у IP54 16А 250В Atlas Profi 54 АНТРАЦИТ ATN544045 (12),145.0,0.0,180.1,132.0,0.81,Высокая,база спроса ≈111 шт/мес (история 32 мес.); сезонность ×1.02; рост спроса ×1.58; исключено разовых крупных заказов: 4; прогноз след. месяц ≈180 шт; остаток 145 + в пути 0,12.0
Systeme Electric,300200946_,"G163 Рамка 2-ная ""ARTGALLERY"" базальт GAL1402 (5)",35.0,0.0,99.2,115.0,0.35,Высокая,база спроса ≈25 шт/мес (история 23 мес.); сезонность ×2.12; рост спроса ×1.89; прогноз след. месяц ≈99 шт; остаток 35 + в пути 0,5.0
Systeme Electric,300200934_,"G151 Выкл. 1 кл 10А ""ARTGALLERY"" базальт GAL1411 (5)",5.0,0.0,68.8,100.0,0.07,Высокая,база спроса ≈25 шт/мес (история 25 мес.); сезонность ×2.16; рост спроса ×1.28; прогноз след. месяц ≈69 шт; остаток 5 + в пути 0,5.0
Systeme Electric,030200096_," S185 роз-ТВ. с\у  ""Wessen 59"" РТС 151-18 (60) !!!",1.0,0.0,61.0,91.0,0.02,Высокая,база спроса ≈61 шт/мес (история 2 мес.); прогноз след. месяц ≈61 шт; остаток 1 + в пути 0,1.0
Systeme Electric,300201150_,"B003 Роз. о/у без з/к без ш/т 16А 250В ""BLANCA"" антрацит BLNRA000116 (18)",18.0,0.0,61.7,90.0,0.29,Высокая,база спроса ≈22 шт/мес (история 16 мес.); сезонность ×2.84; прогноз след. месяц ≈62 шт; остаток 18 + в пути 0,18.0
Systeme Electric,300200284_,"S388 Выкл 3 кл 10А с/у б/рамки ""ATLAS"" белый ATN131 (20)",105.0,0.0,112.9,80.0,0.93,Высокая,база спроса ≈76 шт/мес (история 32 мес.); сезонность ×1.05; рост спроса ×1.41; исключено разовых крупных заказов: 1; прогноз след. месяц ≈113 шт; остаток 105 + в пути 0,20.0
Systeme Electric,300200784_,"G001 Роз. с з/к 16А механизм ""ARTGALLERY"" алюминий GAL0343 (10)",116.0,0.0,129.9,80.0,0.89,Высокая,база спроса ≈46 шт/мес (история 20 мес.); сезонность ×2.02; рост спроса ×1.40; прогноз след. месяц ≈130 шт; остаток 116 + в пути 0,10.0
Systeme Electric,300200316_,"S417 Роз  2-ная  с/у без з/к 16А 250В ""BLANCA""  белый BLNRS000021 (36)",11.0,0.0,55.8,78.0,0.2,Высокая,база спроса ≈32 шт/мес (история 28 мес.); сезонность ×2.66; снижение спроса ×0.65; прогноз след. месяц ≈56 шт; остаток 11 + в пути 0,6.0
Systeme Electric,030200038_,"S251 с/у.з/к 16А  IP20  ""ХИТ"" РС 16-134-б (81) !!!",10.0,0.0,37.9,60.0,0.26,Высокая,база спроса ≈40 шт/мес (история 17 мес.); сезонность ×1.90; снижение спроса ×0.50; прогноз след. месяц ≈38 шт; остаток 10 + в пути 0,20.0
Systeme Electric,300200632_,"А3999 Роз. без з/к без шторок 16А механизм ""ATLAS"" алюминий ATN341 (10)",30.0,0.0,54.9,60.0,0.55,Высокая,база спроса ≈46 шт/мес (история 30 мес.); сезонность ×0.73; рост спроса ×1.62; прогноз след. месяц ≈55 шт; остаток 30 + в пути 0,10.0
Systeme Electric,300200729_,К101 Роз. 2-ная с/у 16А ATLAS ПЕСОЧНЫЙ ATN1220 (6),74.0,0.0,87.2,60.0,0.85,Высокая,база спроса ≈14 шт/мес (история 29 мес.); сезонность ×3.17; рост спроса ×2.00; прогноз след. месяц ≈87 шт; остаток 74 + в пути 0,6.0
